scheme,scene_temp_K,hours_since_cal,signal_e,well_fill_pct,sigma_temporal_e,sigma_readout_total_e,nuc_residual_e,gain_drift_e,offset_drift_e,sigma_calibration_e,sigma_total_e,nedt_mK,cal_floor_mK,accuracy_pct,accuracy_K,bias_K
none_detection,315.0,0.0,7724040.50994804,38.6205025497402,2826.204848074777,154506.9517969034,0.0,0.0,0.0,0.0,154506.9517969034,1358.7816159439758,0.0,,,
two_point,315.0,0.0,7724040.50994804,38.6205025497402,2826.204848074777,2826.204848074777,705.3486031710345,0.0,0.0,705.3486031710345,2912.8938352224072,25.616883554206996,6.203052378383488,0.9551389340674744,0.6488028202363915,0.6488028202363915
none,320.0,0.0,8304981.575324714,41.52520787662357,2927.1786601876643,2927.1786601876643,0.0,0.0,0.0,0.0,2927.1786601876643,24.6666507824295,0.0,,,
none_detection,320.0,0.0,8304981.575324714,41.52520787662357,2927.1786601876643,166125.69326116247,0.0,0.0,0.0,0.0,166125.69326116247,1399.90241026128,0.0,,,
two_point,320.0,0.0,8304981.575324714,41.52520787662357,2927.1786601876643,2927.1786601876643,1772.3860991365273,0.0,0.0,1772.3860991365273,3421.9478945580754,28.835955542707616,14.935483629219382,0.9551389340674744,0.6684457659195073,0.6684457659195073
none,330.0,0.0,9541437.93950737,47.70748969753685,3131.2667201694435,3131.2667201694435,0.0,0.0,0.0,0.0,3131.2667201694435,24.34356141107162,0.0,,,
none_detection,330.0,0.0,9541437.93950737,47.70748969753685,3131.2667201694435,190854.68297283436,0.0,0.0,0.0,0.0,190854.68297283436,1483.7709817605007,0.0,,,
two_point,330.0,0.0,9541437.93950737,47.70748969753685,3131.2667201694435,3131.2667201694435,5167.0007957144935,0.0,0.0,5167.0007957144935,6041.748794492776,46.97066585277793,40.170069311350495,0.9551389340674744,0.7085074658645444,0.7085074658645444
none,340.0,0.0,10877601.670619875,54.388308353099376,3337.812907272247,3337.812907272247,0.0,0.0,0.0,0.0,3337.812907272247,24.081615504893534,0.0,,,
none_detection,340.0,0.0,10877601.670619875,54.388308353099376,3337.812907272247,217577.84408545113,0.0,0.0,0.0,0.0,217577.84408545113,1569.778213821899,0.0,,,
two_point,340.0,0.0,10877601.670619875,54.388308353099376,3337.812907272247,3337.812907272247,10554.076649940822,0.0,0.0,10554.076649940822,11069.305711596337,79.86270394964427,76.14543503600855,0.9551389340674744,0.7495892126388961,0.7495892126388961
two_point,340.0,0.0,10877601.670619875,54.388308353099376,3337.812907272247,3337.812907272247,10554.076649940822,0.0,0.0,10554.076649940822,11069.305711596337,79.86270394964427,76.14543503600855,0.9551389340674744,0.7495892126388961,0.7495892126388961
two_point,340.0,6.0,10877601.670619875,54.388308353099376,3337.812907272247,3337.812907272247,10554.076649940822,3263.2805011859627,4320.0,11861.700281251697,12322.375118709859,88.90333519572371,85.57966349313182,0.9551389340674744,0.7495892126388961,0.7495892126388961
two_point,340.0,24.0,10877601.670619875,54.388308353099376,3337.812907272247,3337.812907272247,10554.076649940822,13053.122004743851,17280.0,24090.888900236834,24321.01813262569,175.4710115960565,173.81067776525663,0.9551389340674744,0.7495892126388961,0.7495892126388961
two_point,340.0,72.0,10877601.670619875,54.388308353099376,3337.812907272247,3337.812907272247,10554.076649940822,39159.36601423156,51840.0,65819.67852070823,65904.25688507028,475.48530086397244,474.8750858198152,0.9551389340674744,0.7495892126388961,0.7495892126388961
