wavelength_um,L_W_m2_sr_um
8.515037593984962072e+00,2.567898040642385737e+01
8.527568922305764687e+00,2.565758985782897383e+01
8.540100250626565526e+00,2.563600942384700332e+01
8.552631578947368141e+00,2.561424095935025136e+01
8.565162907268170756e+00,2.559228630962504525e+01
8.577694235588971594e+00,2.557014731036509048e+01
8.590225563909774209e+00,2.554782578766589296e+01
8.602756892230576824e+00,2.552532355801988473e+01
8.615288220551377663e+00,2.550264242831322647e+01
8.627819548872180277e+00,2.547978419582282683e+01
8.640350877192982892e+00,2.545675064821489286e+01
8.652882205513783731e+00,2.543354356354418044e+01
8.665413533834586346e+00,2.541016471025432111e+01
8.677944862155388961e+00,2.538661584717875996e+01
8.690476190476189799e+00,2.536289872354308628e+01
8.703007518796992414e+00,2.533901507896784722e+01
8.715538847117795029e+00,2.531496664347233150e+01
8.728070175438595868e+00,2.529075513747934068e+01
8.740601503759398483e+00,2.526638227182065322e+01
8.753132832080201098e+00,2.524184974774317780e+01
8.765664160401001936e+00,2.521715925691642468e+01
8.778195488721804551e+00,2.519231248144014401e+01
8.790726817042607166e+00,2.516731109385309750e+01
8.803258145363408005e+00,2.514215675714249798e+01
8.815789473684210620e+00,2.511685112475418791e+01
8.828320802005013235e+00,2.509139584060362083e+01
8.840852130325814073e+00,2.506579253908738991e+01
8.853383458646616688e+00,2.504004284509559497e+01
8.865914786967419303e+00,2.501414837402496971e+01
8.878446115288220142e+00,2.498811073179234654e+01
8.890977443609022757e+00,2.496193151484909123e+01
8.903508771929825372e+00,2.493561231019625879e+01
8.916040100250626210e+00,2.490915469539996963e+01
8.928571428571428825e+00,2.488256023860764543e+01
8.941102756892231440e+00,2.485583049856510485e+01
8.953634085213032279e+00,2.482896702463369465e+01
8.966165413533834894e+00,2.480197135680847254e+01
8.978696741854637509e+00,2.477484502573667768e+01
8.991228070175438347e+00,2.474758955273692962e+01
9.003759398496240962e+00,2.472020644981883208e+01
9.016290726817041801e+00,2.469269721970324483e+01
9.028822055137844416e+00,2.466506335584286802e+01
9.041353383458647031e+00,2.463730634244357276e+01
9.053884711779447869e+00,2.460942765448609748e+01
9.066416040100250484e+00,2.458142875774822045e+01
9.078947368421053099e+00,2.455331110882730172e+01
9.091478696741853938e+00,2.452507615516367423e+01
9.104010025062656553e+00,2.449672533506399930e+01
9.116541353383459168e+00,2.446826007772533629e+01
9.129072681704260006e+00,2.443968180325960660e+01
9.141604010025062621e+00,2.441099192271845908e+01
9.154135338345865236e+00,2.438219183811842328e+01
9.166666666666666075e+00,2.435328294246680514e+01
9.179197994987468689e+00,2.432426661978752946e+01
9.191729323308271304e+00,2.429514424514755078e+01
9.204260651629072143e+00,2.426591718468386816e+01
9.216791979949874758e+00,2.423658679563046547e+01
9.229323308270675597e+00,2.420715442634588399e+01
9.241854636591478211e+00,2.417762141634111828e+01
9.254385964912280826e+00,2.414798909630771107e+01
9.266917293233081665e+00,2.411825878814625312e+01
9.279448621553884280e+00,2.408843180499524195e+01
9.291979949874686895e+00,2.405850945126017848e+01
9.304511278195487733e+00,2.402849302264293030e+01
9.317042606516290348e+00,2.399838380617146072e+01
9.329573934837092963e+00,2.396818308022979238e+01
9.342105263157893802e+00,2.393789211458826571e+01
9.354636591478696417e+00,2.390751217043398924e+01
9.367167919799499032e+00,2.387704450040167004e+01
9.379699248120299870e+00,2.384649034860457562e+01
9.392230576441102485e+00,2.381585095066574098e+01
9.404761904761905100e+00,2.378512753374955935e+01
9.417293233082705939e+00,2.375432131659341195e+01
9.429824561403508554e+00,2.372343350953951457e+01
9.442355889724311169e+00,2.369246531456714777e+01
9.454887218045112007e+00,2.366141792532497945e+01
9.467418546365914622e+00,2.363029252716348694e+01
9.479949874686717237e+00,2.359909029716779827e+01
9.492481203007518076e+00,2.356781240419052281e+01
9.505012531328320691e+00,2.353646000888474887e+01
9.517543859649123306e+00,2.350503426373743565e+01
9.530075187969924144e+00,2.347353631310270927e+01
9.542606516290726759e+00,2.344196729323534356e+01
9.555137844611529374e+00,2.341032833232467780e+01
9.567669172932330213e+00,2.337862055052827159e+01
9.580200501253132828e+00,2.334684506000592918e+01
9.592731829573935443e+00,2.331500296495390856e+01
9.605263157894736281e+00,2.328309536163903104e+01
9.617794486215538896e+00,2.325112333843311774e+01
9.630325814536341511e+00,2.321908797584744022e+01
9.642857142857142350e+00,2.318699034656736657e+01
9.655388471177944965e+00,2.315483151548690444e+01
9.667919799498747579e+00,2.312261253974359931e+01
9.680451127819548418e+00,2.309033446875341866e+01
9.692982456140351033e+00,2.305799834424568218e+01
9.705513784461153648e+00,2.302560520029799562e+01
9.718045112781954487e+00,2.299315606337162876e+01
9.730576441102757101e+00,2.296065195234647405e+01
9.743107769423559716e+00,2.292809387855641035e+01
9.755639097744360555e+00,2.289548284582465243e+01
9.768170426065163170e+00,2.286281985049909693e+01
9.780701754385965785e+00,2.283010588148773223e+01
9.793233082706766623e+00,2.279734192029417272e+01
9.805764411027569238e+00,2.276452894105322855e+01
9.818295739348371853e+00,2.273166791056634040e+01
9.830827067669172692e+00,2.269875978833737662e+01
9.843358395989975307e+00,2.266580552660807868e+01
9.855889724310777922e+00,2.263280607039387604e+01
9.868421052631578760e+00,2.259976235751954832e+01
9.880952380952381375e+00,2.256667531865490162e+01
9.893483709273182214e+00,2.253354587735048753e+01
9.906015037593984829e+00,2.250037495007339672e+01
9.918546365914787444e+00,2.246716344624302764e+01
9.931077694235588282e+00,2.243391226826673446e+01
9.943609022556390897e+00,2.240062231157571659e+01
9.956140350877191736e+00,2.236729446466069859e+01
9.968671679197994351e+00,2.233392960910763136e+01
9.981203007518796966e+00,2.230052861963354971e+01
9.993734335839597804e+00,2.226709236412230553e+01
1.000626566416040042e+01,2.223362170366009494e+01
1.001879699248120303e+01,2.220011749257139755e+01
1.003132832080200387e+01,2.216658057845445029e+01
1.004385964912280649e+01,2.213301180221705522e+01
1.005639097744360910e+01,2.209941199811209955e+01
1.006892230576440994e+01,2.206578199377316096e+01
1.008145363408521256e+01,2.203212261025011287e+01
1.009398496240601517e+01,2.199843466204456988e+01
1.010651629072681601e+01,2.196471895714546108e+01
1.011904761904761862e+01,2.193097629706440799e+01
1.013157894736842124e+01,2.189720747687111668e+01
1.014411027568922208e+01,2.186341328522877703e+01
1.015664160401002469e+01,2.182959450442933402e+01
1.016917293233082731e+01,2.179575191042870941e+01
1.018170426065162815e+01,2.176188627288200550e+01
1.019423558897243076e+01,2.172799835517876588e+01
1.020676691729323338e+01,2.169408891447778842e+01
1.021929824561403422e+01,2.166015870174242153e+01
1.023182957393483683e+01,2.162620846177534517e+01
1.024436090225563945e+01,2.159223893325346921e+01
1.025689223057644028e+01,2.155825084876290276e+01
1.026942355889724290e+01,2.152424493483350432e+01
1.028195488721804551e+01,2.149022191197364862e+01
1.029448621553884635e+01,2.145618249470486205e+01
1.030701754385964897e+01,2.142212739159630175e+01
1.031954887218045158e+01,2.138805730529923466e+01
1.033208020050125242e+01,2.135397293258139584e+01
1.034461152882205504e+01,2.131987496436125085e+01
1.035714285714285765e+01,2.128576408574226875e+01
1.036967418546365849e+01,2.125164097604698910e+01
1.038220551378446110e+01,2.121750630885102495e+01
1.039473684210526372e+01,2.118336075201716540e+01
1.040726817042606456e+01,2.114920496772901970e+01
1.041979949874686717e+01,2.111503961252491024e+01
1.043233082706766979e+01,2.108086533733158063e+01
1.044486215538847063e+01,2.104668278749763743e+01
1.045739348370927324e+01,2.101249260282717657e+01
1.046992481203007586e+01,2.097829541761308647e+01
1.048245614035087669e+01,2.094409186067032280e+01
1.049498746867167931e+01,2.090988255536913343e+01
1.050751879699248192e+01,2.087566811966822300e+01
1.052005012531328276e+01,2.084144916614753029e+01
1.053258145363408538e+01,2.080722630204131463e+01
1.054511278195488799e+01,2.077300012927084438e+01
1.055764411027568883e+01,2.073877124447703579e+01
1.057017543859649145e+01,2.070454023905304908e+01
1.058270676691729406e+01,2.067030769917683841e+01
1.059523809523809490e+01,2.063607420584330043e+01
1.060776942355889751e+01,2.060184033489666433e+01
1.062030075187970013e+01,2.056760665706256574e+01
1.063283208020050097e+01,2.053337373798010290e+01
1.064536340852130358e+01,2.049914213823359432e+01
1.065789473684210620e+01,2.046491241338457812e+01
1.067042606516290704e+01,2.043068511400332810e+01
1.068295739348370965e+01,2.039646078570044097e+01
1.069548872180451049e+01,2.036223996915828494e+01
1.070802005012531311e+01,2.032802320016235598e+01
1.072055137844611572e+01,2.029381100963243867e+01
1.073308270676691656e+01,2.025960392365368534e+01
1.074561403508771917e+01,2.022540246350761350e+01
1.075814536340852001e+01,2.019120714570291497e+01
1.077067669172932263e+01,2.015701848200622237e+01
1.078320802005012524e+01,2.012283697947269090e+01
1.079573934837092608e+01,2.008866314047645929e+01
1.080827067669172870e+01,2.005449746274105038e+01
1.082080200501253131e+01,2.002034043936957275e+01
1.083333333333333215e+01,1.998619255887484059e+01
1.084586466165413476e+01,1.995205430520936929e+01
1.085839598997493738e+01,1.991792615779523601e+01
1.087092731829573822e+01,1.988380859155376967e+01
1.088345864661654083e+01,1.984970207693524813e+01
1.089598997493734345e+01,1.981560707994835369e+01
1.090852130325814429e+01,1.978152406218949366e+01
1.092105263157894690e+01,1.974745348087203212e+01
1.093358395989974952e+01,1.971339578885547184e+01
1.094611528822055035e+01,1.967935143467435566e+01
1.095864661654135297e+01,1.964532086256710741e+01
1.097117794486215558e+01,1.961130451250485152e+01
1.098370927318295642e+01,1.957730282021989865e+01
1.099624060150375904e+01,1.954331621723423851e+01
1.100877192982456165e+01,1.950934513088789046e+01
1.102130325814536249e+01,1.947538998436715829e+01
1.103383458646616511e+01,1.944145119673254385e+01
1.104636591478696772e+01,1.940752918294690588e+01
1.105889724310776856e+01,1.937362435390313919e+01
1.107142857142857117e+01,1.933973711645184324e+01
1.108395989974937379e+01,1.930586787342897992e+01
1.109649122807017463e+01,1.927201702368323311e+01
1.110902255639097724e+01,1.923818496210331475e+01
1.112155388471177986e+01,1.920437207964512893e+01
1.113408521303258070e+01,1.917057876335883293e+01
1.114661654135338331e+01,1.913680539641563527e+01
1.115914786967418593e+01,1.910305235813474312e+01
