scheme,n_tdi,signal_e,well_fill_pct,snr,sigma_temporal_e,nuc_residual_e,temporal_ratio_pct,cal_ratio_pct
none,1,732.4069395727173,1.2206799102577084,23.667992039897797,30.94503912026328,0.0,4.225115499085313,0.0
one_point,1,732.4069395727173,1.2206799102577084,21.91383488372769,30.94503912026328,12.627075135822059,4.225115499085313,1.7240518151273434
none,2,1464.8138791454346,2.441359820515417,35.63187351781287,41.10965084149038,0.0,2.8064760599806404,0.0
one_point,2,1464.8138791454346,2.441359820515417,30.360708353506126,41.10965084149038,25.254150271644118,2.8064760599806404,1.7240518151273434
none,4,2929.627758290869,4.882719641030834,52.15851263833733,56.167777992533225,0.0,1.917232584705616,0.0
one_point,4,2929.627758290869,4.882719641030834,38.78377427632397,56.167777992533225,50.508300543288236,1.917232584705616,1.7240518151273434
none,8,5859.255516581738,9.765439282061667,75.1158759659667,78.00289141587638,0.0,1.3312764940038473,0.0
one_point,8,5859.255516581738,9.765439282061667,45.90899954077718,78.00289141587638,101.01660108657647,1.3312764940038473,1.7240518151273434
none,16,11718.511033163477,19.530878564123334,107.22664656501091,109.28730318968438,0.0,0.9326040047272256,0.0
one_point,16,11718.511033163477,19.530878564123334,51.01705575804879,109.28730318968438,202.03320217315294,0.9326040047272256,1.7240518151273434
none,32,23437.022066326954,39.06175712824667,152.3612352950839,153.8253612930846,0.0,0.6563349253917911,0.0
one_point,32,23437.022066326954,39.06175712824667,54.20766716618588,153.8253612930846,404.0664043463059,0.6563349253917911,1.7240518151273434
none,64,46874.04413265391,78.12351425649334,215.9858085072142,217.02372232983194,0.0,0.46299338225576,0.0
one_point,64,46874.04413265391,78.12351425649334,56.01807943555287,217.02372232983194,808.1328086926118,0.46299338225576,1.7240518151273434
none,96,59999.90336813687,117.18527138473998,244.4902083024525,245.40820585302356,0.0,0.40901433515199354,0.0
one_point,96,59999.90336813687,117.18527138473998,56.4364337067242,245.40820585302356,1034.4294230930159,0.40901433515199354,1.7240518151273438
none,128,59999.87115751583,156.24702851298667,244.49007704921695,245.4082058530236,0.0,0.4090145547292275,0.0
one_point,128,59999.87115751583,156.24702851298667,56.436432092348454,245.4082058530236,1034.4288677652191,0.4090145547292275,1.7240518151273436
